window_id,src_ip,dst_ip,mean_inter_arrival,std_inter_arrival,burstiness,syn_count,rst_count,syn_ratio,rst_ratio,zero_payload_ratio,flow_count_per_window,label
0,192.168.153.138,192.168.153.141,0.2806193147386823,1.5967190128982516,5.68998258150956,2,0,0.0555555555555555,0.0,0.3333333333333333,1,0
1,192.168.153.138,192.168.153.141,0.078832406264085,0.1931342480344045,2.4499347056261787,0,0,0.0,0.0,0.4444444444444444,1,0
2,192.168.153.138,192.168.153.141,0.0085394954681396,0.0172589319141152,2.0210716169950933,2,0,0.0769230769230769,0.0,0.4230769230769231,1,0
3,192.168.153.138,192.168.153.141,0.4090168158213297,1.1845103231870937,2.895994192337856,0,0,0.0,0.0,0.375,1,0
4,192.168.153.138,192.168.153.141,0.0936154067516326,0.2082395145119851,2.2244149946862604,0,0,0.0,0.0,0.4146341463414634,1,0
5,192.168.153.138,192.168.153.141,0.074239642996537,0.405961941524923,5.468263654552587,2,0,0.0512820512820512,0.0,0.3846153846153846,1,0
6,192.168.153.138,192.168.153.141,0.1015382210413615,0.2430372741890315,2.393554581678465,0,0,0.0,0.0,0.4186046511627907,1,0
0,192.168.153.138,192.168.153.141,0.057269887490706,0.1883035139701061,3.2880021634522127,2,0,0.0869565217391304,0.0,0.4782608695652174,1,1
1,192.168.153.138,192.168.153.141,0.0088031291961669,0.011923455366405,1.3544564779983752,0,0,0.0,0.0,0.75,2,1
1,192.168.153.138,192.168.153.141,0.0118165016174316,0.0220681740075164,1.867572545749207,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
2,192.168.153.138,192.168.153.141,0.0004235903422037,0.0003352417498495,0.7914291626797708,0,0,0.0,0.0,0.75,2,1
2,192.168.153.138,192.168.153.141,0.0060244174230666,0.0123633235522333,2.0522023432333723,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
3,192.168.153.138,192.168.153.141,0.0003914833068847,0.0002693909098708,0.6881287276703633,0,0,0.0,0.0,0.75,2,1
3,192.168.153.138,192.168.153.141,0.0040931133996872,0.0101157847987326,2.471415719756399,2,0,0.0909090909090909,0.0,0.4545454545454545,2,1
4,192.168.153.138,192.168.153.141,1.9073486328125e-05,0.0,0.0,0,1,0.0,0.5,1.0,3,1
4,192.168.153.138,192.168.153.141,0.0003591378529866,0.0002476427612661,0.6895479248614426,0,0,0.0,0.0,0.75,3,1
4,192.168.153.138,192.168.153.141,0.0041514691852387,0.0096833101811213,2.332502000870421,2,0,0.0909090909090909,0.0,0.4545454545454545,3,1
6,192.168.153.138,192.168.153.141,0.0003178119659423,0.0002168946986081,0.6824623420486139,0,0,0.0,0.0,0.75,3,1
6,192.168.153.138,192.168.153.141,0.0058345794677734,0.0126591339051335,2.169673748563149,2,0,0.0869565217391304,0.0,0.4782608695652174,3,1
6,192.168.153.138,192.168.153.141,5.936622619628906e-05,0.0,0.0,0,1,0.0,0.5,1.0,3,1
